Андрей Бочаров;глава
Андрей Бочаров;губернатор
Андрей Бочаров;андрей
Андрей Бочаров;бочаров
Зина Мержоева;заместитель
Зина Мержоева;мержоева
Василий Иванов;заместитель
Василий Иванов;иванов
Виталий Лихачев;бывший
Виталий Лихачев;мэр
Виталий Лихачев;депутат
Царицынская опера;театр
Волгоград Арена;стадион
